symbol,correlated_symbol,correlation
159915.SZ,159915.SZ,1.0
510300.SS,159915.SZ,0.8892960511893646
510500.SS,159915.SZ,0.8522712882175019
511010.SS,159915.SZ,-0.25351637435848134
518880.SS,159915.SZ,0.10121941072610774
159915.SZ,510300.SS,0.8892960511893646
510300.SS,510300.SS,1.0
510500.SS,510300.SS,0.8656658637454131
511010.SS,510300.SS,-0.26192773287431875
518880.SS,510300.SS,0.20762592224316473
159915.SZ,510500.SS,0.8522712882175019
510300.SS,510500.SS,0.8656658637454131
510500.SS,510500.SS,1.0
511010.SS,510500.SS,-0.2507029162559997
518880.SS,510500.SS,0.23734974794921238
159915.SZ,511010.SS,-0.25351637435848134
510300.SS,511010.SS,-0.26192773287431875
510500.SS,511010.SS,-0.2507029162559997
511010.SS,511010.SS,1.0
518880.SS,511010.SS,0.010376010258777634
159915.SZ,518880.SS,0.10121941072610774
510300.SS,518880.SS,0.20762592224316473
510500.SS,518880.SS,0.23734974794921238
511010.SS,518880.SS,0.010376010258777634
518880.SS,518880.SS,1.0
