date,symbol,asset_name,asset_class,close
2023-08-14,159915.SZ,创业板ETF,chinext,2.113
2023-08-15,159915.SZ,创业板ETF,chinext,2.096
2023-08-16,159915.SZ,创业板ETF,chinext,2.082
2023-08-17,159915.SZ,创业板ETF,chinext,2.094
2023-08-18,159915.SZ,创业板ETF,chinext,2.065
2023-08-21,159915.SZ,创业板ETF,chinext,2.035
2023-08-22,159915.SZ,创业板ETF,chinext,2.038
2023-08-23,159915.SZ,创业板ETF,chinext,1.987
2023-08-24,159915.SZ,创业板ETF,chinext,2.014
2023-08-25,159915.SZ,创业板ETF,chinext,1.991
2023-08-28,159915.SZ,创业板ETF,chinext,2.01
2023-08-29,159915.SZ,创业板ETF,chinext,2.067
2023-08-30,159915.SZ,创业板ETF,chinext,2.066
2023-08-31,159915.SZ,创业板ETF,chinext,2.052
2023-09-01,159915.SZ,创业板ETF,chinext,2.049
2023-09-04,159915.SZ,创业板ETF,chinext,2.067
2023-09-05,159915.SZ,创业板ETF,chinext,2.057
2023-09-06,159915.SZ,创业板ETF,chinext,2.049
2023-09-07,159915.SZ,创业板ETF,chinext,2.003
2023-09-08,159915.SZ,创业板ETF,chinext,1.998
2023-09-11,159915.SZ,创业板ETF,chinext,2.011
2023-09-12,159915.SZ,创业板ETF,chinext,1.998
2023-09-13,159915.SZ,创业板ETF,chinext,1.974
2023-09-14,159915.SZ,创业板ETF,chinext,1.96
2023-09-15,159915.SZ,创业板ETF,chinext,1.954
2023-09-18,159915.SZ,创业板ETF,chinext,1.968
2023-09-19,159915.SZ,创业板ETF,chinext,1.952
2023-09-20,159915.SZ,创业板ETF,chinext,1.936
2023-09-21,159915.SZ,创业板ETF,chinext,1.917
2023-09-22,159915.SZ,创业板ETF,chinext,1.964
2023-09-25,159915.SZ,创业板ETF,chinext,1.953
2023-09-26,159915.SZ,创业板ETF,chinext,1.938
2023-09-27,159915.SZ,创业板ETF,chinext,1.956
2023-09-28,159915.SZ,创业板ETF,chinext,1.953
2023-10-09,159915.SZ,创业板ETF,chinext,1.947
2023-10-10,159915.SZ,创业板ETF,chinext,1.938
2023-10-11,159915.SZ,创业板ETF,chinext,1.954
2023-10-12,159915.SZ,创业板ETF,chinext,1.968
2023-10-13,159915.SZ,创业板ETF,chinext,1.945
2023-10-16,159915.SZ,创业板ETF,chinext,1.906
2023-10-17,159915.SZ,创业板ETF,chinext,1.912
2023-10-18,159915.SZ,创业板ETF,chinext,1.887
2023-10-19,159915.SZ,创业板ETF,chinext,1.867
2023-10-20,159915.SZ,创业板ETF,chinext,1.85
